Time Custom..._Count Custom..._Conc Acetate_Count Acetate_Conc Custom..._Died bacteria_couldn't_eat
0 4 0.02 77081 2.4 0 0
2 4 0.02 77081 2.4 0 0
4 4 0.02 77066 2.4 0 0
6 4 0.02 77051 2.4 0 0
8 4 0.02 77034 2.4 0 0
10 4 0.02 77018 2.4 0 0
12 4 0.02 77003 2.4 0 0
14 4 0.02 76986 2.4 0 0
16 4 0.02 76970 2.39 0 0
18 4 0.02 76951 2.39 0 0
20 4 0.02 76931 2.39 0 0
22 4 0.03 76910 2.39 0 0
24 4 0.03 76890 2.39 0 0
26 4 0.03 76869 2.39 0 0
28 4 0.03 76848 2.39 0 0
30 4 0.03 76826 2.39 0 0
32 4 0.03 76804 2.39 0 0
34 4 0.03 76783 2.39 0 0
36 4 0.03 76760 2.39 0 0
38 4 0.03 76735 2.39 0 0
40 4 0.03 76709 2.39 0 0
42 4 0.03 76683 2.38 0 0
44 4 0.03 76658 2.38 0 0
46 4 0.03 76630 2.38 0 0
48 4 0.04 76601 2.38 0 0
50 4 0.04 76571 2.38 0 0
52 4 0.04 76539 2.38 0 0
54 4 0.04 76509 2.38 0 0
56 8 0.04 76476 2.38 0 0
58 8 0.04 76444 2.38 0 0
60 8 0.04 76412 2.38 0 0
62 8 0.04 76380 2.37 0 0
64 8 0.04 76344 2.37 0 0
66 8 0.05 76308 2.37 0 0
68 8 0.05 76268 2.37 0 0
70 8 0.05 76228 2.37 0 0
72 8 0.05 76187 2.37 0 0
74 8 0.05 76145 2.37 0 0
76 8 0.05 76105 2.37 0 0
78 8 0.05 76060 2.36 0 0
80 8 0.05 76017 2.36 0 0
82 8 0.06 75974 2.36 0 0
84 8 0.06 75928 2.36 0 0
86 8 0.06 75880 2.36 0 0
88 8 0.06 75829 2.36 0 0
90 8 0.06 75776 2.36 0 0
92 8 0.06 75726 2.35 0 0
94 8 0.07 75670 2.35 0 0
96 8 0.07 75614 2.35 0 0
98 8 0.07 75555 2.35 0 0
100 8 0.07 75494 2.35 0 0
102 8 0.07 75435 2.34 0 0
104 8 0.08 75374 2.34 0 0
106 8 0.08 75311 2.34 0 0
108 16 0.08 75245 2.34 0 0
110 16 0.08 75181 2.34 0 0
112 16 0.08 75117 2.33 0 0
114 16 0.09 75047 2.33 0 0
116 16 0.09 74972 2.33 0 0
118 16 0.09 74896 2.33 0 0
120 16 0.09 74820 2.33 0 0
122 16 0.1 74741 2.32 0 0
124 16 0.1 74660 2.32 0 0
126 16 0.1 74576 2.32 0 0
128 16 0.1 74493 2.31 0 0
130 16 0.11 74408 2.31 0 0
132 16 0.11 74315 2.31 0 0
134 16 0.11 74220 2.31 0 0
136 16 0.12 74123 2.3 0 0
138 16 0.12 74025 2.3 0 0
140 16 0.12 73926 2.3 0 0
142 16 0.12 73819 2.29 0 0
144 16 0.13 73710 2.29 0 0
146 16 0.13 73597 2.29 0 0
148 16 0.14 73483 2.28 0 0
150 16 0.14 73362 2.28 0 0
152 16 0.14 73245 2.28 0 0
154 16 0.15 73123 2.27 0 0
156 16 0.15 72996 2.27 0 0
158 16 0.15 72876 2.26 0 0
160 32 0.16 72745 2.26 0 0
162 32 0.16 72613 2.26 0 0
164 32 0.17 72472 2.25 0 0
166 32 0.17 72330 2.25 0 0
168 32 0.18 72180 2.24 0 0
170 32 0.18 72033 2.24 0 0
172 32 0.19 71879 2.23 0 0
174 32 0.19 71718 2.23 0 0
176 32 0.2 71557 2.22 0 0
178 32 0.2 71389 2.22 0 0
180 32 0.21 71218 2.21 0 0
182 32 0.21 71036 2.21 0 0
184 32 0.22 70852 2.2 0 0
186 32 0.22 70665 2.19 0 0
188 32 0.23 70470 2.19 0 0
190 32 0.24 70269 2.18 0 0
192 32 0.24 70065 2.18 0 0
194 32 0.25 69862 2.17 0 0
196 32 0.26 69648 2.16 0 0
198 32 0.26 69431 2.16 0 0
200 32 0.27 69203 2.15 0 0
202 32 0.28 68972 2.14 0 0
204 32 0.29 68734 2.13 0 0
206 32 0.29 68490 2.13 0 0
208 32 0.3 68237 2.12 0 0
210 32 0.31 67984 2.11 0 0
212 64 0.32 67718 2.1 0 0
214 64 0.33 67446 2.09 0 0
216 64 0.33 67170 2.09 0 0
218 64 0.34 66881 2.08 0 0
220 64 0.35 66586 2.07 0 0
222 64 0.36 66281 2.06 0 0
224 64 0.37 65964 2.05 0 0
226 64 0.38 65647 2.04 0 0
228 64 0.39 65319 2.03 0 0
230 64 0.4 64978 2.02 0 0
232 64 0.41 64632 2.01 0 0
234 64 0.43 64275 2.0 0 0
236 64 0.44 63913 1.98 0 0
238 64 0.45 63540 1.97 0 0
