Time Custom..._Count Custom..._Conc Glycerol_Count Glycerol_Conc Custom..._Died bacteria_couldn't_eat
0 43 0.21 57811 2.76 0 0
2 43 0.21 57811 2.76 0 0
4 43 0.21 57766 2.76 0 0
6 43 0.21 57719 2.75 0 0
8 43 0.22 57667 2.75 0 0
10 43 0.22 57616 2.75 0 0
12 43 0.22 57563 2.74 0 0
14 43 0.22 57505 2.74 0 0
16 43 0.23 57448 2.74 0 0
18 43 0.23 57391 2.73 0 0
20 43 0.23 57333 2.73 0 0
22 43 0.24 57266 2.73 0 0
24 43 0.24 57201 2.72 0 0
26 43 0.24 57127 2.72 0 0
28 43 0.24 57063 2.72 0 0
30 43 0.25 56995 2.71 0 0
32 43 0.25 56916 2.71 0 0
34 43 0.25 56837 2.71 0 0
36 43 0.26 56765 2.7 0 0
38 43 0.26 56695 2.7 0 0
40 43 0.26 56615 2.7 0 0
42 43 0.27 56535 2.69 0 0
44 43 0.27 56451 2.69 0 0
46 43 0.27 56370 2.68 0 0
48 43 0.28 56284 2.68 0 0
50 43 0.28 56201 2.68 0 0
52 43 0.28 56115 2.67 0 0
54 43 0.29 56029 2.67 0 0
56 43 0.29 55942 2.66 0 0
58 43 0.29 55847 2.66 0 0
60 43 0.3 55759 2.65 0 0
62 43 0.3 55667 2.65 0 0
64 43 0.31 55570 2.65 0 0
66 43 0.31 55479 2.64 0 0
68 43 0.31 55392 2.64 0 0
70 43 0.32 55284 2.63 0 0
72 43 0.32 55188 2.63 0 0
74 43 0.32 55092 2.62 0 0
76 43 0.33 54993 2.62 0 0
78 43 0.33 54892 2.61 0 0
80 43 0.34 54789 2.61 0 0
82 43 0.34 54682 2.6 0 0
84 43 0.35 54579 2.6 0 0
86 43 0.35 54477 2.59 0 0
88 43 0.35 54375 2.59 0 0
90 43 0.36 54266 2.58 0 0
92 43 0.36 54160 2.58 0 0
94 43 0.37 54055 2.57 0 0
96 43 0.37 53941 2.57 0 0
98 43 0.38 53828 2.56 0 0
100 43 0.38 53715 2.56 0 0
102 43 0.39 53598 2.55 0 0
104 43 0.39 53482 2.55 0 0
106 43 0.4 53363 2.54 0 0
108 43 0.4 53241 2.54 0 0
110 43 0.41 53124 2.53 0 0
112 43 0.41 52999 2.52 0 0
114 43 0.42 52875 2.52 0 0
116 86 0.42 52747 2.51 0 0
118 86 0.43 52621 2.51 0 0
120 86 0.43 52497 2.5 0 0
122 86 0.44 52373 2.49 0 0
