Organism;Body Site;Project ID;CDS Count;Contig Count;Contig Locus Min;Contig Locus Max;Contig ASM;Contig CDS;Contig PEP;Contig GBK;Scaffold Count;Scaffold Locus Min;Scaffold Locus Max;Scaffold ASM;Scaffold CDS;Scaffold PEP;Scaffold GBK
;;;;;;;;;;;;;;;;;
Holdemania filiformis DSM 12042;Gastrointestinal_tract;30361;8446;289;ACCF01000001;ACCF01000289;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/30361/30361.ACCF01000001-ACCF01000289.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/30361/30361.ACCF01000001-ACCF01000289.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/30361/30361.ACCF01000001-ACCF01000289.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/30361/30361.ACCF01000001-ACCF01000289.nuc.gbk;35;GG657551;GG657585;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/30361/30361.GG657551-GG657585.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/30361/30361.GG657551-GG657585.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/30361/30361.GG657551-GG657585.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/30361/30361.GG657551-GG657585.nuc.gbk
Bifidobacterium dentium ATCC 27678;Gastrointestinal_tract;20555;2430;2;ABIX02000001;ABIX02000002;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/20555/20555.ABIX02000001-ABIX02000002.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/20555/20555.ABIX02000001-ABIX02000002.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/20555/20555.ABIX02000001-ABIX02000002.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/20555/20555.ABIX02000001-ABIX02000002.nuc.gbk;;;;;;;
Clostridium celatum DSM 1785;Gastrointestinal_tract;30375;6906;137;AMEZ01000001;AMEZ01000137;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/30375/30375.AMEZ01000001-AMEZ01000137.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/30375/30375.AMEZ01000001-AMEZ01000137.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/30375/30375.AMEZ01000001-AMEZ01000137.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/30375/30375.AMEZ01000001-AMEZ01000137.nuc.gbk;122;KB291596;KB291717;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/30375/30375.KB291596-KB291717.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/30375/30375.KB291596-KB291717.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/30375/30375.KB291596-KB291717.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/30375/30375.KB291596-KB291717.nuc.gbk
Eubacterium biforme DSM 3989;Gastrointestinal_tract;29269;5058;161;ABYT01000001;ABYT01000161;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/29269/29269.ABYT01000001-ABYT01000161.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/29269/29269.ABYT01000001-ABYT01000161.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/29269/29269.ABYT01000001-ABYT01000161.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/29269/29269.ABYT01000001-ABYT01000161.nuc.gbk;44;DS996836;DS996879;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/29269/29269.DS996836-DS996879.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/29269/29269.DS996836-DS996879.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/29269/29269.DS996836-DS996879.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/29269/29269.DS996836-DS996879.nuc.gbk
Bacteroides sp. D22;Gastrointestinal_tract;41953;4931;226;ADCK01000001;ADCK01000226;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41953/41953.ADCK01000001-ADCK01000226.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41953/41953.ADCK01000001-ADCK01000226.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41953/41953.ADCK01000001-ADCK01000226.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41953/41953.ADCK01000001-ADCK01000226.nuc.gbk;94;GG774795;GG774888;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41953/41953.GG774795-GG774888.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41953/41953.GG774795-GG774888.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41953/41953.GG774795-GG774888.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41953/41953.GG774795-GG774888.nuc.gbk
Lachnospiraceae bacterium 6_1_37FAA;Gastrointestinal_tract;41967;5900;38;ADCR01000001;ADCR01000038;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41967/41967.ADCR01000001-ADCR01000038.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41967/41967.ADCR01000001-ADCR01000038.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41967/41967.ADCR01000001-ADCR01000038.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41967/41967.ADCR01000001-ADCR01000038.nuc.gbk;15;GL872349;GL872363;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41967/41967.GL872349-GL872363.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41967/41967.GL872349-GL872363.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41967/41967.GL872349-GL872363.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41967/41967.GL872349-GL872363.nuc.gbk
Clostridium perfringens WAL-14572;Gastrointestinal_tract;46397;6366;35;ADLP01000001;ADLP01000035;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/46397/46397.ADLP01000001-ADLP01000035.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/46397/46397.ADLP01000001-ADLP01000035.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/46397/46397.ADLP01000001-ADLP01000035.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/46397/46397.ADLP01000001-ADLP01000035.nuc.gbk;20;JH594533;JH594552;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/46397/46397.JH594533-JH594552.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/46397/46397.JH594533-JH594552.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/46397/46397.JH594533-JH594552.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/46397/46397.JH594533-JH594552.nuc.gbk
Pediococcus acidilactici 7_4;Gastrointestinal_tract;40051;1838;28;ACXB01000001;ACXB01000028;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40051/40051.ACXB01000001-ACXB01000028.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40051/40051.ACXB01000001-ACXB01000028.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40051/40051.ACXB01000001-ACXB01000028.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40051/40051.ACXB01000001-ACXB01000028.nuc.gbk;9;GG730083;GG730091;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40051/40051.GG730083-GG730091.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40051/40051.GG730083-GG730091.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40051/40051.GG730083-GG730091.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40051/40051.GG730083-GG730091.nuc.gbk
Coprobacillus sp. 3_3_56FAA;Gastrointestinal_tract;40019;7910;106;ACWL01000001;ACWL01000106;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40019/40019.ACWL01000001-ACWL01000106.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40019/40019.ACWL01000001-ACWL01000106.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40019/40019.ACWL01000001-ACWL01000106.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40019/40019.ACWL01000001-ACWL01000106.nuc.gbk;31;JH470424;JH470454;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40019/40019.JH470424-JH470454.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40019/40019.JH470424-JH470454.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40019/40019.JH470424-JH470454.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40019/40019.JH470424-JH470454.nuc.gbk
